"kjonn","alder","ansvar","likhet","staasted"
1,59,5,2,5
1,57,5,3,5
1,79,8,4,5
2,56,5,4,5
2,55,5,4,5
2,40,5,2,2
2,61,4,3,4
1,39,8,3,7
2,64,7,2,2
1,31,6,2,7
2,76,8,2,1
2,43,5,2,2
1,39,9,2,7
1,65,6,3,6
1,80,10,4,0
2,35,5,3,3
2,52,NA,3,2
2,50,5,2,0
2,57,5,3,6
2,70,7,4,8
1,41,8,3,5
2,53,5,3,5
2,40,3,3,4
2,75,6,3,5
1,54,8,3,5
2,53,8,3,NA
2,50,10,1,2
2,16,7,3,5
2,32,6,3,5
2,54,6,4,5
2,84,10,4,0
1,19,3,4,4
1,68,8,3,5
1,55,3,3,3
2,64,10,3,5
1,62,4,2,3
1,68,6,3,1
1,52,6,3,6
1,60,8,4,3
2,75,8,2,3
1,63,6,2,3
1,40,3,3,3
1,56,6,2,4
1,80,2,3,8
1,59,5,2,6
2,48,4,4,4
2,45,5,4,5
2,38,5,2,4
1,69,5,3,3
1,22,5,2,3
2,47,5,4,6
1,49,3,4,5
1,66,4,2,5
2,83,5,3,4
2,41,7,2,3
2,47,5,2,5
2,31,5,3,5
2,20,8,3,2
1,20,5,2,3
2,76,5,2,6
2,37,3,2,5
1,54,8,3,3
2,39,6,2,4
1,41,5,5,4
1,60,7,3,6
1,20,NA,NA,5
2,45,0,3,0
1,20,5,3,3
2,37,NA,NA,2
1,48,7,3,2
1,49,5,2,5
2,38,5,2,2
1,50,10,2,5
1,62,7,4,3
1,29,10,2,5
1,77,8,2,5
1,59,8,2,3
1,41,7,2,5
1,37,3,2,5
2,20,5,4,5
1,64,4,4,4
2,60,5,2,4
