"kjonn","alder","ansvar","likhet","staasted"
1,80,9,2,3
2,36,5,4,5
1,48,8,2,3
1,36,9,3,2
1,26,5,2,1
2,23,7,3,4
1,26,8,3,5
1,45,5,3,2
2,61,9,4,5
2,22,7,2,5
1,51,8,2,3
2,57,8,2,4
1,46,5,2,6
1,40,7,3,6
2,71,3,2,8
1,55,4,3,4
1,45,7,3,6
1,18,7,4,5
1,53,3,3,7
2,61,10,2,5
2,64,6,3,8
2,40,4,2,7
1,70,6,2,5
2,37,5,4,4
2,58,9,1,3
2,78,4,4,10
2,60,3,2,5
1,57,5,2,7
2,16,5,3,5
2,55,7,4,5
1,32,7,2,8
2,60,5,3,5
2,57,8,2,4
2,48,8,1,8
2,53,10,1,9
2,70,3,4,7
2,54,5,3,5
1,35,10,4,3
2,15,5,3,3
1,35,5,3,5
1,23,5,4,5
2,36,4,2,5
1,55,7,2,5
1,54,3,2,1
1,67,8,4,3
2,59,3,2,1
2,41,3,2,0
2,51,5,5,5
1,47,6,2,5
1,41,9,5,NA
1,27,10,2,3
2,49,5,2,5
1,37,6,2,5
2,53,3,4,8
2,24,6,3,2
2,53,6,2,5
2,59,5,4,4
1,39,4,2,5
2,51,8,3,2
2,17,7,3,8
1,64,5,2,5
2,46,6,4,7
2,69,4,3,3
2,69,3,2,5
1,46,7,2,3
1,36,9,2,3
2,40,8,4,4
2,38,5,3,5
2,39,9,4,5
2,17,5,3,5
1,15,3,3,0
1,57,6,4,4
1,18,3,2,4
1,24,9,4,4
2,21,7,2,5
2,49,7,2,6
1,36,4,2,4
2,22,7,3,0
1,44,5,2,5
2,54,5,2,5
1,70,5,2,2
2,47,3,4,4
1,30,5,2,5
2,82,3,3,5
1,55,4,3,5
1,72,8,5,5
1,76,6,2,5
2,64,4,3,6
2,67,7,3,5
1,53,9,3,2
1,49,6,2,3
1,49,7,4,5
1,75,5,3,5
2,38,1,3,5
2,60,6,3,7
1,54,10,2,5
1,38,5,4,6
2,61,5,2,4
1,23,4,2,NA
1,15,3,3,NA
2,70,5,2,5
1,68,7,2,5
1,48,4,3,6
2,54,1,2,5
2,76,5,3,7
1,42,7,3,3
1,25,7,4,4
1,81,10,1,0
2,33,7,2,3
1,27,5,3,3
2,64,10,4,5
2,52,5,2,4
1,61,6,2,4
1,69,4,3,3
2,51,5,2,5
1,80,10,3,5
2,34,9,2,2
2,34,3,2,5
2,22,10,1,3
1,55,3,1,6
1,18,NA,3,NA
1,25,10,2,3
1,79,5,3,3
2,19,5,2,3
2,36,8,3,1
2,54,5,2,5
2,57,3,4,5
1,24,NA,2,4
1,33,7,3,2
2,22,NA,NA,4
2,31,7,4,6
2,40,7,5,8
1,37,8,2,3
1,57,5,2,7
2,62,10,4,3
2,77,6,2,4
2,48,10,1,7
2,31,5,3,5
1,68,5,4,5
1,45,4,4,7
2,59,8,3,8
1,25,8,2,7
1,19,9,1,5
2,23,6,2,4
1,62,9,2,3
1,82,5,2,7
1,50,6,4,7
1,75,4,4,5
2,46,5,4,5
2,54,3,2,5
2,24,8,3,5
1,69,7,5,5
1,44,5,5,7
1,23,3,2,6
1,25,6,4,5
2,26,2,3,7
2,35,5,2,5
2,32,6,1,7
2,26,7,2,2
1,60,5,3,6
1,27,3,5,3
2,48,10,2,3
1,30,10,3,3
2,32,7,3,5
2,23,5,3,5
2,49,2,2,5
2,52,5,2,5
1,66,3,3,6
2,18,9,2,5
2,46,5,2,6
2,32,4,2,3
2,22,8,2,3
2,21,10,3,7
1,52,6,2,4
1,68,6,3,3
2,35,6,3,5
1,44,7,2,7
1,74,6,2,4
1,66,5,2,7
1,66,7,3,2
2,47,5,3,4
1,54,5,2,6
2,60,2,4,8
1,65,6,2,4
2,51,4,3,6
2,67,10,4,5
1,37,5,3,4
2,30,6,2,2
1,52,7,3,5
1,66,8,4,5
2,56,2,4,5
1,35,3,3,8
2,50,7,2,4
1,45,8,4,0
1,73,10,1,1
1,19,6,2,5
2,37,6,3,5
1,80,6,2,5
2,43,5,3,5
2,82,2,2,5
1,39,8,2,6
2,30,7,2,3
2,75,5,2,NA
2,64,7,4,4
1,46,0,2,5
1,64,9,4,2
2,21,5,3,4
2,19,5,3,7
1,52,7,2,5
1,49,9,2,6
2,23,8,2,2
2,78,3,3,7
1,51,4,4,5
1,48,5,3,4
1,30,5,3,4
1,76,5,2,7
